ID_ESTADO,NOMBRE ESTADO,DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PT,PVEM,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,61,7,186,21,1,5,28,294,563,11,574,1079
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,62,1,72,7,0,0,16,148,260,5,265,510
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,63,0,59,8,6,2,15,172,312,2,314,693
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,76,4,79,4,2,2,16,168,301,9,310,659
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,77,3,164,12,5,4,16,244,467,15,483,910
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,78,1,36,2,1,2,3,50,107,6,113,226
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,79,5,79,12,5,2,13,181,316,13,329,634
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,80,10,223,29,5,12,25,363,684,11,695,1275
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,81,6,157,20,2,1,14,210,431,8,440,933
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,84,6,65,8,4,3,8,138,241,8,249,485
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,95,1,92,4,2,2,9,149,272,11,283,485
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,97,1,131,23,2,2,19,312,504,13,518,980
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,198,5,217,20,3,5,44,538,879,30,911,2214
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,216,3,179,30,5,9,22,532,812,27,839,1703
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,217,4,263,45,8,7,22,553,948,24,973,1948
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,218,6,161,38,4,5,16,280,533,15,548,1029
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,219,4,141,19,5,13,27,493,731,19,750,1513
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,220,4,141,20,6,3,11,381,579,14,594,1125
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,237,4,148,15,2,6,17,247,462,10,473,859
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,238,1,122,16,3,2,17,270,447,11,458,789
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,239,5,151,17,4,2,16,346,568,8,576,1170
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,240,4,155,32,5,9,11,293,530,7,537,1038
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,241,1,109,11,1,3,12,315,470,9,479,1014
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,242,6,122,17,2,4,13,275,457,8,466,832
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,243,9,264,41,2,10,44,792,1202,26,1228,2395
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,244,6,195,39,4,1,24,463,770,14,786,1622
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,248,3,109,36,2,1,11,263,446,8,454,847
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,249,4,104,10,4,4,8,291,448,16,464,832
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,250,2,140,15,4,11,13,248,449,9,458,853
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,253,8,149,27,0,5,19,283,504,12,517,865
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,254,7,256,37,2,4,27,459,821,19,841,1579
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,255,21,391,34,5,6,35,417,939,13,956,1678
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,256,26,560,108,11,13,54,1327,2195,54,2249,4676
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,257,6,185,43,2,6,20,515,805,23,828,1769
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,258,2,112,21,4,1,8,295,457,11,468,848
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,259,2,175,16,2,3,12,369,603,23,626,1037
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,260,5,116,28,3,1,10,281,459,4,463,885
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,261,3,166,11,1,4,17,395,632,20,652,1385
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,262,12,323,35,9,5,35,765,1228,36,1269,2626
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,263,5,217,42,11,3,23,484,818,30,848,1628
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,268,6,134,19,7,4,13,410,628,31,659,1215
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,269,13,185,23,6,3,15,244,509,11,520,906
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,270,9,226,31,8,5,17,396,711,12,723,1344
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,271,5,138,30,3,6,11,294,510,14,524,909
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,272,18,252,17,4,5,12,461,795,17,814,1408
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,273,1,181,27,1,3,11,373,632,17,649,1229
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,274,7,249,18,1,3,25,403,740,15,755,1361
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,275,6,205,18,1,2,13,257,524,12,536,904
