ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CABECERA_DISTRITAL_LOCAL,MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1480,8,54,506,452,45,181,62,0,617,45,10,16,15,5,3,0,42,0,0,0,0,0,7,8,0,2,17,14,0,0,2101,0,117,2218,4810
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1481,2,10,106,105,17,38,16,0,151,11,0,1,1,4,1,0,18,0,0,0,0,0,1,1,0,1,4,0,0,0,486,0,22,508,867
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1482,2,8,139,105,7,29,18,0,136,9,0,3,2,0,1,0,17,0,0,0,0,0,0,0,0,0,7,2,0,0,483,0,18,501,815
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1483,2,16,186,104,25,27,11,0,180,18,2,17,2,4,0,0,34,0,0,0,0,0,5,2,0,1,10,3,0,0,647,0,40,687,1181
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1484,4,39,328,212,34,92,27,0,499,42,8,11,10,1,19,0,96,0,0,0,0,0,5,2,0,2,21,13,0,0,1461,0,61,1522,2754
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1485,6,65,430,503,61,120,43,0,398,52,9,107,9,3,9,0,51,0,0,0,0,0,7,7,1,0,24,9,0,0,1908,0,131,2039,4459
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1486,3,26,217,195,23,89,21,0,260,22,7,27,7,8,3,0,41,0,0,0,0,0,0,2,1,1,3,1,0,0,954,1,32,987,1576
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1487,3,49,284,266,21,104,33,0,280,23,3,16,6,5,3,0,91,0,0,0,0,0,3,3,0,1,11,5,0,0,1207,1,32,1240,1946
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1488,2,12,163,132,9,35,18,0,156,11,2,8,5,2,0,0,21,0,0,0,0,0,2,0,0,2,2,1,0,0,581,0,26,607,921
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,36,IGUALA DE LA INDEPENDENCIA,1489,2,16,153,135,8,53,13,0,201,11,5,1,1,0,0,0,39,0,0,0,0,0,0,1,0,2,0,1,0,0,640,0,20,660,991
